Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.05     0.00       12     0.00     0.00  std::remove_reference<std::_Vector_base<int, std::allocator<int> >::_Vector_impl&>::type&& std::move<std::_Vector_base<int, std::allocator<int> >::_Vector_impl&>(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&)
  0.00      0.05     0.00        9     0.00     0.00  IOPerformanceAnalyzer::getFileSize(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.05     0.00        9     0.00     0.00  std::fpos<__mbstate_t>::operator long() const
  0.00      0.05     0.00        9     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.05     0.00        9     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.05     0.00        9     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.05     0.00        9     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      0.05     0.00        9     0.00     0.00  std::__cxx11::to_string(unsigned long)
  0.00      0.05     0.00        9     0.00     0.00  unsigned int std::__detail::__to_chars_len<unsigned long>(unsigned long, int)
  0.00      0.05     0.00        9     0.00     0.00  void std::__detail::__to_chars_10_impl<unsigned long>(char*, unsigned int, unsigned long)
  0.00      0.05     0.00        9     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      0.05     0.00        9     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.05     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >::base() const
  0.00      0.05     0.00        6     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      0.05     0.00        6     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.05     0.00        6     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&&)
  0.00      0.05     0.00        6     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data&&)
  0.00      0.05     0.00        6     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(std::_Vector_base<int, std::allocator<int> >&&)
  0.00      0.05     0.00        6     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> >&&)
  0.00      0.05     0.00        4     0.00     0.00  bool __gnu_cxx::operator!=<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >(__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > > const&, __gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > > const&)
  0.00      0.05     0.00        3     0.00     0.00  IOPerformanceAnalyzer::writeDataBulk(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<int, std::allocator<int> > const&)
  0.00      0.05     0.00        3     0.00     3.33  IOPerformanceAnalyzer::generateTestData(unsigned long)
  0.00      0.05     0.00        3     0.00     0.00  IOPerformanceAnalyzer::readDataBuffered(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.05     0.00        3     0.00     1.67  IOPerformanceAnalyzer::writeDataBuffered(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<int, std::allocator<int> > const&)
  0.00      0.05     0.00        3     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >::operator++()
  0.00      0.05     0.00        3     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >::operator*() const
  0.00      0.05     0.00        3     0.00     0.00  int* std::vector<int, std::allocator<int> >::_M_data_ptr<int>(int*) const
  0.00      0.05     0.00        3     0.00     0.00  std::vector<int, std::allocator<int> >::data() const
  0.00      0.05     0.00        3     0.00     0.00  std::vector<int, std::allocator<int> >::capacity() const
  0.00      0.05     0.00        3     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_get_Tp_allocator()
  0.00      0.05     0.00        3     0.00     0.00  std::__new_allocator<unsigned long>::~__new_allocator()
  0.00      0.05     0.00        3     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::seed(unsigned long)
  0.00      0.05     0.00        3     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long)
  0.00      0.05     0.00        3     0.00     0.00  std::uniform_int_distribution<int>::param_type::param_type(int, int)
  0.00      0.05     0.00        3     0.00     0.00  std::uniform_int_distribution<int>::uniform_int_distribution(int, int)
  0.00      0.05     0.00        3     0.00     0.00  std::vector<int, std::allocator<int> >::reserve(unsigned long)
  0.00      0.05     0.00        3     0.00     0.00  std::__is_constant_evaluated()
  0.00      0.05     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >::__normal_iterator(unsigned long const* const&)
  0.00      0.05     0.00        2     0.00     0.00  std::initializer_list<unsigned long>::begin() const
  0.00      0.05     0.00        2     0.00     0.00  unsigned long const* std::__miter_base<unsigned long const*>(unsigned long const*)
  0.00      0.05     0.00        2     0.00     0.00  unsigned long const* std::__niter_base<unsigned long const*>(unsigned long const*)
  0.00      0.05     0.00        1     0.00     0.00  std::initializer_list<unsigned long>::end() const
  0.00      0.05     0.00        1     0.00     0.00  std::initializer_list<unsigned long>::size() const
  0.00      0.05     0.00        1     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::end() const
  0.00      0.05     0.00        1     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::begin() const
  0.00      0.05     0.00        1     0.00     0.00  unsigned long* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned long const, unsigned long>(unsigned long const*, unsigned long const*, unsigned long*)
  0.00      0.05     0.00        1     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned long*>(unsigned long*, unsigned long*)
  0.00      0.05     0.00        1     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_allocate(unsigned long)
  0.00      0.05     0.00        1     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_impl::_Vector_impl(std::allocator<unsigned long> const&)
  0.00      0.05     0.00        1     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_impl::~_Vector_impl()
  0.00      0.05     0.00        1     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_deallocate(unsigned long*, unsigned long)
  0.00      0.05     0.00        1     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.05     0.00        1     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_base(std::allocator<unsigned long> const&)
  0.00      0.05     0.00        1     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::~_Vector_base()
  0.00      0.05     0.00        1     0.00     0.00  std::__new_allocator<unsigned long>::deallocate(unsigned long*, unsigned long)
  0.00      0.05     0.00        1     0.00     0.00  std::__new_allocator<unsigned long>::allocate(unsigned long, void const*)
  0.00      0.05     0.00        1     0.00     0.00  unsigned long* std::__uninitialized_copy<true>::__uninit_copy<unsigned long const*, unsigned long*>(unsigned long const*, unsigned long const*, unsigned long*)
  0.00      0.05     0.00        1     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::_S_max_size(std::allocator<unsigned long> const&)
  0.00      0.05     0.00        1     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::_S_check_init_len(unsigned long, std::allocator<unsigned long> const&)
  0.00      0.05     0.00        1     0.00     0.00  void std::vector<unsigned long, std::allocator<unsigned long> >::_M_range_initialize<unsigned long const*>(unsigned long const*, unsigned long const*, std::forward_iterator_tag)
  0.00      0.05     0.00        1     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::vector(std::initializer_list<unsigned long>, std::allocator<unsigned long> const&)
  0.00      0.05     0.00        1     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::~vector()
  0.00      0.05     0.00        1     0.00     0.00  unsigned long* std::__niter_base<unsigned long*>(unsigned long*)
  0.00      0.05     0.00        1     0.00     0.00  unsigned long* std::__niter_wrap<unsigned long*>(unsigned long* const&, unsigned long*)
  0.00      0.05     0.00        1     0.00     0.00  unsigned long* std::__copy_move_a<false, unsigned long const*, unsigned long*>(unsigned long const*, unsigned long const*, unsigned long*)
  0.00      0.05     0.00        1     0.00     0.00  unsigned long* std::__copy_move_a1<false, unsigned long const*, unsigned long*>(unsigned long const*, unsigned long const*, unsigned long*)
  0.00      0.05     0.00        1     0.00     0.00  unsigned long* std::__copy_move_a2<false, unsigned long const*, unsigned long*>(unsigned long const*, unsigned long const*, unsigned long*)
  0.00      0.05     0.00        1     0.00     0.00  unsigned long* std::uninitialized_copy<unsigned long const*, unsigned long*>(unsigned long const*, unsigned long const*, unsigned long*)
  0.00      0.05     0.00        1     0.00     0.00  unsigned long* std::__uninitialized_copy_a<unsigned long const*, unsigned long*, unsigned long>(unsigned long const*, unsigned long const*, unsigned long*, std::allocator<unsigned long>&)
  0.00      0.05     0.00        1     0.00     0.00  unsigned long* std::copy<unsigned long const*, unsigned long*>(unsigned long const*, unsigned long const*, unsigned long*)
  0.00      0.05     0.00        1     0.00     0.00  void std::_Destroy<unsigned long*>(unsigned long*, unsigned long*)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2024 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


