Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.31     0.00        2     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.31     0.00        2     0.00     0.00  int* std::copy<int const*, int*>(int const*, int const*, int*)
  0.00      0.31     0.00        1     0.00   310.00  demonstrateProfilingWorkflow()
  0.00      0.31     0.00        1     0.00     3.33  ProfilingTestApplication::initializeData(unsigned long)
  0.00      0.31     0.00        1     0.00     6.47  ProfilingTestApplication::runOptimizedWorkload()
  0.00      0.31     0.00        1     0.00   306.67  ProfilingTestApplication::runComprehensiveAnalysis()
  0.00      0.31     0.00        1     0.00     0.00  ProfilingTestApplication::ProfilingTestApplication()
  0.00      0.31     0.00        1     0.00     0.00  ProfilingTestApplication::~ProfilingTestApplication()
  0.00      0.31     0.00        1     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
  0.00      0.31     0.00        1     0.00     0.00  bool __gnu_cxx::operator==<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.31     0.00        1     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      0.31     0.00        1     0.00     0.00  void std::__copy_move<true, false, std::random_access_iterator_tag>::__assign_one<int, int>(int*, int*)
  0.00      0.31     0.00        1     0.00     0.00  int* std::__copy_move_backward<true, true, std::random_access_iterator_tag>::__copy_move_b<int, int>(int*, int*, int*)
